item_id,declaration_id,year,customs_office_code,customs_office_name,regime,registration_serial,registration_number,reference_number,registration_date,hs_code,commercial_description,country_of_origin,country_of_origin_code,country_of_export,country_of_export_code,country_of_destination,country_of_destination_code,uom,qty_by_uom,actual_unit_price,price_basis,local_amount,sup_amount,invoice_amount,net_weight,gross_weight,status,specification_code,warehouse_code,exit_office_code,exit_officer_id,operation_name,operation_date,encrypted_declarant_cr,encrypted_consignee_cr,encrypted_exporter_cr,declaration_date,year_month,hs_clean,hs2,hs6,is_reexport,trade_type,local_amount_clean,invoice_amount_clean,sup_amount_clean,net_weight_clean,gross_weight_clean,partner_country_code,active_cr,hs_desc
2020-2601-9-10129-1,2020-2601-9-10129,2020,2601,Dry Port - Hidd,IM,9,10129,40679,11/7/2020,9018390000,Medical syringes and needles,CN,CN,CN,CN,BH,BH,NMB,45.0,0.18,FOB,3.05,4.37,8.1,357.81,428.85,Released,9,3,2601,283,,,CR_HASH_028,CR_HASH_026,,2020-11-07,2020-11,901839000000,90,901839,False,Import,3.05,8.1,4.37,357.81,428.85,CN,CR_HASH_026,Medical syringes and needles
2020-2701-7-10130-1,2020-2701-7-10130,2020,2701,Khalifa Bin Salman Port,,7,10130,13397,5/18/2020,9018390000,Medical syringes and needles,DE,DE,BH,BH,AE,AE,NMB,45.0,0.25,CIF,4.23,2.96,11.25,328.31,384.05,Released,6,2,2701,554,,,CR_HASH_240,CR_HASH_014,,2020-05-18,2020-05,901839000000,90,901839,False,,4.23,11.25,2.96,328.31,384.05,,CR_HASH_014,Medical syringes and needles
2020-2701-4-10131-1,2020-2701-4-10131,2020,2701,Khalifa Bin Salman Port,IM,4,10131,15069,7/29/2020,1006301000,Long-grain milled rice,CN,CN,CN,CN,BH,BH,KGM,3770.95,0.77,CIF,1091.76,3.92,2903.63,3770.95,4440.59,Pending,5,2,2701,119,,,CR_HASH_246,CR_HASH_022,,2020-07-29,2020-07,100630100000,10,100630,False,Import,1091.76,2903.63,3.92,3770.95,4440.59,CN,CR_HASH_022,Long-grain milled rice
2020-2601-2-10132-1,2020-2601-2-10132,2020,2601,Dry Port - Hidd,IM,2,10132,23985,12/23/2020,8517120000,Cellular telephones,CN,CN,CN,CN,BH,BH,NMB,51.0,402.53,FOB,7718.92,2.5,20529.03,33.81,39.81,Released,7,4,2601,444,,,CR_HASH_164,CR_HASH_006,,2020-12-23,2020-12,851712000000,85,851712,False,Import,7718.92,20529.03,2.5,33.81,39.81,CN,CR_HASH_006,Cellular telephones
2020-2601-8-10133-1,2020-2601-8-10133,2020,2601,Dry Port - Hidd,IM,8,10133,22686,1/27/2020,6109100000,Cotton t-shirts,JP,JP,JP,JP,BH,BH,NMB,178.0,2.14,EXW,143.23,3.2,380.92,289.3,312.57,Pending,9,8,2601,544,,,CR_HASH_202,CR_HASH_033,,2020-01-27,2020-01,610910000000,61,610910,False,Import,143.23,380.92,3.2,289.3,312.57,JP,CR_HASH_033,Cotton t-shirts
2020-2601-9-10134-1,2020-2601-9-10134,2020,2601,Dry Port - Hidd,IM,9,10134,58934,7/23/2020,1006301000,Long-grain milled rice,US,US,US,US,BH,BH,KGM,1862.36,0.65,FOB,455.16,3.25,1210.53,1862.36,1960.63,Released,7,5,2601,828,,,CR_HASH_082,CR_HASH_022,,2020-07-23,2020-07,100630100000,10,100630,False,Import,455.16,1210.53,3.25,1862.36,1960.63,US,CR_HASH_022,Long-grain milled rice
2020-2701-1-10135-1,2020-2701-1-10135,2020,2701,Khalifa Bin Salman Port,IM,1,10135,25899,3/22/2020,8517120000,Cellular telephones,CN,CN,CN,CN,BH,BH,NMB,173.0,763.75,CIF,49680.41,4.67,132128.75,676.73,752.58,Held,4,2,2701,647,,,CR_HASH_119,CR_HASH_005,,2020-03-22,2020-03,851712000000,85,851712,False,Import,49680.41,132128.75,4.67,676.73,752.58,CN,CR_HASH_005,Cellular telephones
2020-2701-1-10136-1,2020-2701-1-10136,2020,2701,Khalifa Bin Salman Port,EX,1,10136,59528,12/6/2020,2710192100,Gas oils for diesel engines,BH,BH,BH,BH,DE,DE,LTR,19062.61,0.31,EXW,2221.94,4.32,5909.41,17750.73,21222.89,Released,1,6,2701,943,,,CR_HASH_231,,CR_HASH_010,2020-12-06,2020-12,271019210000,27,271019,True,Re-export,2221.94,5909.41,4.32,17750.73,21222.89,DE,CR_HASH_010,Gas oils for diesel engines
2020-2601-4-10137-1,2020-2601-4-10137,2020,2601,Dry Port - Hidd,EX,4,10137,75045,8/12/2020,6109100000,Cotton t-shirts,BH,BH,BH,BH,CN,CN,NMB,114.0,4.0,FOB,171.46,1.9,456.0,680.96,801.73,Pending,9,2,2601,759,,,CR_HASH_131,,CR_HASH_024,2020-08-12,2020-08,610910000000,61,610910,True,Re-export,171.46,456.0,1.9,680.96,801.73,CN,CR_HASH_024,Cotton t-shirts
2020-2601-9-10138-1,2020-2601-9-10138,2020,2601,Dry Port - Hidd,EX,9,10138,44037,1/9/2020,8517120000,Cellular telephones,BH,BH,BH,BH,SA,SA,NMB,76.0,610.31,CIF,17440.22,1.59,46383.56,160.69,189.44,Held,6,6,2601,529,,,CR_HASH_055,,CR_HASH_033,2020-01-09,2020-01,851712000000,85,851712,True,Re-export,17440.22,46383.56,1.59,160.69,189.44,SA,CR_HASH_033,Cellular telephones
2020-2501-3-10139-1,2020-2501-3-10139,2020,2501,Bahrain International Airport,IM,3,10139,52777,12/5/2020,8471300000,Portable laptop computers,MY,MY,MY,MY,BH,BH,NMB,138.0,791.75,EXW,41082.32,1.78,109261.5,420.63,446.16,Released,5,4,2501,122,,,CR_HASH_023,CR_HASH_021,,2020-12-05,2020-12,847130000000,84,847130,False,Import,41082.32,109261.5,1.78,420.63,446.16,MY,CR_HASH_021,Portable laptop computers
2020-2701-5-10140-1,2020-2701-5-10140,2020,2701,Khalifa Bin Salman Port,EX,5,10140,22747,11/5/2020,2710192100,Gas oils for diesel engines,BH,BH,BH,BH,CN,CN,LTR,9204.6,1.16,CIF,4014.68,3.59,10677.34,8532.84,9585.71,Released,2,1,2701,587,,,CR_HASH_210,,CR_HASH_014,2020-11-05,2020-11,271019210000,27,271019,True,Re-export,4014.68,10677.34,3.59,8532.84,9585.71,CN,CR_HASH_014,Gas oils for diesel engines
2020-2601-2-10141-1,2020-2601-2-10141,2020,2601,Dry Port - Hidd,IM,2,10141,78374,4/14/2020,102211000,"Live cattle, pure-bred breeding",CN,CN,CN,CN,BH,BH,NMB,88.0,1504.4,CIF,49777.59,0.56,132387.2,449.49,497.16,Released,3,4,2601,510,,,CR_HASH_082,CR_HASH_032,,2020-04-14,2020-04,102211000000,10,102211,False,Import,49777.59,132387.2,0.56,449.49,497.16,CN,CR_HASH_032,"Live cattle, pure-bred breeding"
2020-2601-7-10142-1,2020-2601-7-10142,2020,2601,Dry Port - Hidd,IM,7,10142,19025,4/28/2020,9018390000,Medical syringes and needles,CN,CN,CN,CN,BH,BH,NMB,2.0,0.29,CIF,0.22,4.74,0.58,6.17,6.87,Released,3,1,2601,980,,,CR_HASH_095,CR_HASH_037,,2020-04-28,2020-04,901839000000,90,901839,False,Import,0.22,0.58,4.74,6.17,6.87,CN,CR_HASH_037,Medical syringes and needles
2020-2501-7-10143-1,2020-2501-7-10143,2020,2501,Bahrain International Airport,IM,7,10143,23206,8/8/2020,3923301000,Plastic bottles for packaging,JP,JP,JP,JP,BH,BH,NMB,57.0,0.65,EXW,13.93,4.94,37.05,218.71,247.59,Released,2,1,2501,169,,,CR_HASH_011,CR_HASH_027,,2020-08-08,2020-08,392330100000,39,392330,False,Import,13.93,37.05,4.94,218.71,247.59,JP,CR_HASH_027,Plastic bottles for packaging
2020-2501-8-10144-1,2020-2501-8-10144,2020,2501,Bahrain International Airport,,8,10144,33922,6/14/2020,8703221000,Passenger cars 1000-1500cc,US,US,BH,BH,CN,CN,NMB,65.0,14595.97,EXW,356725.51,0.91,948738.05,57.71,68.78,Released,5,4,2501,107,,,CR_HASH_033,CR_HASH_049,,2020-06-14,2020-06,870322100000,87,870322,False,,356725.51,948738.05,0.91,57.71,68.78,,CR_HASH_049,Passenger cars 1000-1500cc
2020-2701-5-10145-1,2020-2701-5-10145,2020,2701,Khalifa Bin Salman Port,IM,5,10145,39627,12/6/2020,3923301000,Plastic bottles for packaging,IN,IN,IN,IN,BH,BH,NMB,194.0,0.28,FOB,20.42,4.89,54.32,503.65,593.46,Released,2,7,2701,370,,,CR_HASH_215,CR_HASH_020,,2020-12-06,2020-12,392330100000,39,392330,False,Import,20.42,54.32,4.89,503.65,593.46,IN,CR_HASH_020,Plastic bottles for packaging
2020-2501-4-10146-1,2020-2501-4-10146,2020,2501,Bahrain International Airport,IM,4,10146,51421,3/14/2020,2710192100,Gas oils for diesel engines,SA,SA,SA,SA,BH,BH,LTR,4403.58,0.91,FOB,1506.73,2.13,4007.26,3615.53,3985.5,Released,8,1,2501,614,,,CR_HASH_076,CR_HASH_036,,2020-03-14,2020-03,271019210000,27,271019,False,Import,1506.73,4007.26,2.13,3615.53,3985.5,SA,CR_HASH_036,Gas oils for diesel engines
2020-2501-1-10147-1,2020-2501-1-10147,2020,2501,Bahrain International Airport,IM,1,10147,82624,4/7/2020,3923301000,Plastic bottles for packaging,CN,CN,CN,CN,BH,BH,NMB,86.0,0.65,EXW,21.02,3.23,55.9,524.89,561.43,Pending,2,7,2501,473,,,CR_HASH_086,CR_HASH_015,,2020-04-07,2020-04,392330100000,39,392330,False,Import,21.02,55.9,3.23,524.89,561.43,CN,CR_HASH_015,Plastic bottles for packaging
2020-2701-9-10148-1,2020-2701-9-10148,2020,2701,Khalifa Bin Salman Port,IM,9,10148,93489,9/18/2020,1006301000,Long-grain milled rice,CN,CN,CN,CN,BH,BH,KGM,898.0,0.97,FOB,327.52,0.68,871.06,898.0,944.8,Released,9,1,2701,782,,,CR_HASH_086,CR_HASH_004,,2020-09-18,2020-09,100630100000,10,100630,False,Import,327.52,871.06,0.68,898.0,944.8,CN,CR_HASH_004,Long-grain milled rice
2020-2601-3-10149-1,2020-2601-3-10149,2020,2601,Dry Port - Hidd,IM,3,10149,64384,3/28/2020,9018390000,Medical syringes and needles,US,US,US,US,BH,BH,NMB,7.0,0.18,CIF,0.47,1.41,1.26,21.3,23.41,Released,7,6,2601,990,,,CR_HASH_082,CR_HASH_005,,2020-03-28,2020-03,901839000000,90,901839,False,Import,0.47,1.26,1.41,21.3,23.41,US,CR_HASH_005,Medical syringes and needles
2020-2801-1-10150-1,2020-2801-1-10150,2020,2801,King Fahd Causeway,EX,1,10150,49090,5/8/2020,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,SA,SA,NMB,159.0,11291.63,CIF,675058.81,4.13,1795369.17,1086.29,1286.52,Released,7,3,2801,161,,,CR_HASH_133,,CR_HASH_009,2020-05-08,2020-05,870322100000,87,870322,True,Re-export,675058.81,1795369.17,4.13,1086.29,1286.52,SA,CR_HASH_009,Passenger cars 1000-1500cc
2020-2601-1-10151-1,2020-2601-1-10151,2020,2601,Dry Port - Hidd,IM,1,10151,56746,12/6/2020,3923301000,Plastic bottles for packaging,SA,SA,SA,SA,BH,BH,NMB,198.0,0.64,EXW,47.65,0.94,126.72,1242.73,1453.85,Released,3,9,2601,472,,,CR_HASH_200,CR_HASH_030,,2020-12-06,2020-12,392330100000,39,392330,False,Import,47.65,126.72,0.94,1242.73,1453.85,SA,CR_HASH_030,Plastic bottles for packaging
2020-2501-6-10152-1,2020-2501-6-10152,2020,2501,Bahrain International Airport,IM,6,10152,78126,11/7/2020,1006301000,Long-grain milled rice,JP,JP,JP,JP,BH,BH,KGM,1399.55,0.83,CIF,436.77,2.76,1161.63,1399.55,1657.15,Released,4,5,2501,331,,,CR_HASH_229,CR_HASH_021,,2020-11-07,2020-11,100630100000,10,100630,False,Import,436.77,1161.63,2.76,1399.55,1657.15,JP,CR_HASH_021,Long-grain milled rice
2020-2701-1-10153-1,2020-2701-1-10153,2020,2701,Khalifa Bin Salman Port,IM,1,10153,97082,5/17/2020,8517120000,Cellular telephones,IN,IN,IN,IN,BH,BH,NMB,153.0,722.37,FOB,41556.5,1.14,110522.61,1189.31,1388.77,Held,9,5,2701,601,,,CR_HASH_088,CR_HASH_025,,2020-05-17,2020-05,851712000000,85,851712,False,Import,41556.5,110522.61,1.14,1189.31,1388.77,IN,CR_HASH_025,Cellular telephones
2020-2501-8-10154-1,2020-2501-8-10154,2020,2501,Bahrain International Airport,IM,8,10154,83430,3/3/2020,2710192100,Gas oils for diesel engines,AE,AE,AE,AE,BH,BH,LTR,5637.26,1.14,CIF,2416.36,2.81,6426.48,4294.29,4894.11,Released,3,3,2501,162,,,CR_HASH_146,CR_HASH_009,,2020-03-03,2020-03,271019210000,27,271019,False,Import,2416.36,6426.48,2.81,4294.29,4894.11,AE,CR_HASH_009,Gas oils for diesel engines
2020-2601-2-10155-1,2020-2601-2-10155,2020,2601,Dry Port - Hidd,IM,2,10155,99977,8/30/2020,2710192100,Gas oils for diesel engines,DE,DE,AE,AE,BH,BH,LTR,17947.21,0.47,EXW,3171.63,4.43,8435.19,14021.41,14941.53,Released,3,5,2601,793,,,CR_HASH_111,CR_HASH_036,,2020-08-30,2020-08,271019210000,27,271019,False,Import,3171.63,8435.19,4.43,14021.41,14941.53,DE,CR_HASH_036,Gas oils for diesel engines
2020-2801-1-10156-1,2020-2801-1-10156,2020,2801,King Fahd Causeway,EX,1,10156,37694,12/3/2020,9018390000,Medical syringes and needles,BH,BH,BH,BH,US,US,NMB,23.0,0.47,CIF,4.06,4.54,10.81,72.77,81.35,Held,3,5,2801,734,,,CR_HASH_184,,CR_HASH_021,2020-12-03,2020-12,901839000000,90,901839,True,Re-export,4.06,10.81,4.54,72.77,81.35,US,CR_HASH_021,Medical syringes and needles
2020-2501-6-10157-1,2020-2501-6-10157,2020,2501,Bahrain International Airport,EX,6,10157,88863,8/12/2020,8471300000,Portable laptop computers,BH,BH,BH,BH,CN,CN,NMB,24.0,37.04,FOB,334.25,1.94,888.96,182.97,212.66,Released,9,4,2501,881,,,CR_HASH_163,,CR_HASH_020,2020-08-12,2020-08,847130000000,84,847130,True,Re-export,334.25,888.96,1.94,182.97,212.66,CN,CR_HASH_020,Portable laptop computers
2020-2601-3-10158-1,2020-2601-3-10158,2020,2601,Dry Port - Hidd,IM,3,10158,32002,7/15/2020,9018390000,Medical syringes and needles,US,US,US,US,BH,BH,NMB,13.0,0.22,FOB,1.08,2.9,2.86,32.03,36.64,Pending,7,1,2601,440,,,CR_HASH_083,CR_HASH_020,,2020-07-15,2020-07,901839000000,90,901839,False,Import,1.08,2.86,2.9,32.03,36.64,US,CR_HASH_020,Medical syringes and needles
2020-2701-3-10159-1,2020-2701-3-10159,2020,2701,Khalifa Bin Salman Port,EX,3,10159,98803,4/16/2020,3923301000,Plastic bottles for packaging,BH,BH,BH,BH,CN,CN,NMB,60.0,0.74,EXW,16.69,0.92,44.4,223.09,257.61,Released,4,6,2701,127,,,CR_HASH_130,,CR_HASH_027,2020-04-16,2020-04,392330100000,39,392330,True,Re-export,16.69,44.4,0.92,223.09,257.61,CN,CR_HASH_027,Plastic bottles for packaging
2020-2701-7-10160-1,2020-2701-7-10160,2020,2701,Khalifa Bin Salman Port,EX,7,10160,57222,2/16/2020,8471300000,Portable laptop computers,BH,BH,BH,BH,AE,AE,NMB,102.0,620.23,EXW,23787.06,0.66,63263.46,519.52,604.3,Released,6,7,2701,294,,,CR_HASH_148,,CR_HASH_042,2020-02-16,2020-02,847130000000,84,847130,True,Re-export,23787.06,63263.46,0.66,519.52,604.3,AE,CR_HASH_042,Portable laptop computers
2020-2801-7-10161-1,2020-2801-7-10161,2020,2801,King Fahd Causeway,IM,7,10161,78778,2/27/2020,6109100000,Cotton t-shirts,SA,SA,SA,SA,BH,BH,NMB,98.0,4.45,CIF,163.97,1.82,436.1,117.78,139.36,Released,2,9,2801,248,,,CR_HASH_105,CR_HASH_035,,2020-02-27,2020-02,610910000000,61,610910,False,Import,163.97,436.1,1.82,117.78,139.36,SA,CR_HASH_035,Cotton t-shirts
2020-2701-6-10162-1,2020-2701-6-10162,2020,2701,Khalifa Bin Salman Port,IM,6,10162,38181,9/16/2020,102211000,"Live cattle, pure-bred breeding",SA,SA,SA,SA,BH,BH,NMB,62.0,1308.51,EXW,30503.99,2.62,81127.62,33.26,38.56,Released,5,8,2701,492,,,CR_HASH_247,CR_HASH_047,,2020-09-16,2020-09,102211000000,10,102211,False,Import,30503.99,81127.62,2.62,33.26,38.56,SA,CR_HASH_047,"Live cattle, pure-bred breeding"
2020-2601-8-10163-1,2020-2601-8-10163,2020,2601,Dry Port - Hidd,EX,8,10163,26263,2/3/2020,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,DE,DE,NMB,112.0,16963.36,EXW,714361.02,1.79,1899896.32,122.14,135.29,Released,3,2,2601,190,,,CR_HASH_108,,CR_HASH_001,2020-02-03,2020-02,870322100000,87,870322,True,Re-export,714361.02,1899896.32,1.79,122.14,135.29,DE,CR_HASH_001,Passenger cars 1000-1500cc
2020-2801-5-10164-1,2020-2801-5-10164,2020,2801,King Fahd Causeway,IM,5,10164,21008,10/6/2020,6109100000,Cotton t-shirts,US,US,US,US,BH,BH,NMB,183.0,2.42,CIF,166.52,3.08,442.86,452.1,541.57,Released,5,8,2801,621,,,CR_HASH_083,CR_HASH_011,,2020-10-06,2020-10,610910000000,61,610910,False,Import,166.52,442.86,3.08,452.1,541.57,US,CR_HASH_011,Cotton t-shirts
2020-2601-3-10165-1,2020-2601-3-10165,2020,2601,Dry Port - Hidd,EX,3,10165,16222,2/26/2020,9018390000,Medical syringes and needles,BH,BH,BH,BH,IN,IN,NMB,62.0,0.24,CIF,5.59,0.81,14.88,202.85,230.27,Released,5,7,2601,952,,,CR_HASH_035,,CR_HASH_033,2020-02-26,2020-02,901839000000,90,901839,True,Re-export,5.59,14.88,0.81,202.85,230.27,IN,CR_HASH_033,Medical syringes and needles
2020-2501-7-10166-1,2020-2501-7-10166,2020,2501,Bahrain International Airport,EX,7,10166,76148,4/15/2020,8471300000,Portable laptop computers,BH,BH,BH,BH,CN,CN,NMB,14.0,710.66,CIF,3740.91,2.97,9949.24,9.49,10.04,Released,4,3,2501,815,,,CR_HASH_136,,CR_HASH_042,2020-04-15,2020-04,847130000000,84,847130,True,Re-export,3740.91,9949.24,2.97,9.49,10.04,CN,CR_HASH_042,Portable laptop computers
2020-2601-1-10167-1,2020-2601-1-10167,2020,2601,Dry Port - Hidd,EX,1,10167,69868,11/20/2020,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,CN,CN,NMB,177.0,8002.59,EXW,532588.37,1.68,1416458.43,722.58,854.78,Released,8,4,2601,155,,,CR_HASH_247,,CR_HASH_006,2020-11-20,2020-11,870322100000,87,870322,True,Re-export,532588.37,1416458.43,1.68,722.58,854.78,CN,CR_HASH_006,Passenger cars 1000-1500cc
2020-2601-5-10168-1,2020-2601-5-10168,2020,2601,Dry Port - Hidd,IM,5,10168,50679,5/14/2020,102211000,"Live cattle, pure-bred breeding",CN,CN,US,US,BH,BH,NMB,92.0,1355.73,EXW,46897.41,4.31,124727.16,647.75,738.64,Released,3,4,2601,235,,,CR_HASH_144,CR_HASH_007,,2020-05-14,2020-05,102211000000,10,102211,False,Import,46897.41,124727.16,4.31,647.75,738.64,CN,CR_HASH_007,"Live cattle, pure-bred breeding"
2020-2501-2-10169-1,2020-2501-2-10169,2020,2501,Bahrain International Airport,IM,2,10169,42328,7/27/2020,8471300000,Portable laptop computers,SA,SA,SA,SA,BH,BH,NMB,59.0,791.67,FOB,17562.41,3.18,46708.53,291.52,339.16,Released,2,9,2501,973,,,CR_HASH_190,CR_HASH_042,,2020-07-27,2020-07,847130000000,84,847130,False,Import,17562.41,46708.53,3.18,291.52,339.16,SA,CR_HASH_042,Portable laptop computers
2020-2601-2-10170-1,2020-2601-2-10170,2020,2601,Dry Port - Hidd,IM,2,10170,60028,4/4/2020,8703221000,Passenger cars 1000-1500cc,IN,IN,SA,SA,BH,BH,NMB,25.0,16105.11,EXW,151388.03,1.98,402627.75,163.58,177.83,Released,5,9,2601,584,,,CR_HASH_223,CR_HASH_026,,2020-04-04,2020-04,870322100000,87,870322,False,Import,151388.03,402627.75,1.98,163.58,177.83,IN,CR_HASH_026,Passenger cars 1000-1500cc
2020-2801-9-10171-1,2020-2801-9-10171,2020,2801,King Fahd Causeway,IM,9,10171,93830,9/6/2020,1006301000,Long-grain milled rice,CN,CN,CN,CN,BH,BH,KGM,2733.44,0.94,EXW,966.11,1.39,2569.43,2733.44,2897.74,Released,7,7,2801,853,,,CR_HASH_104,CR_HASH_042,,2020-09-06,2020-09,100630100000,10,100630,False,Import,966.11,2569.43,1.39,2733.44,2897.74,CN,CR_HASH_042,Long-grain milled rice
2020-2501-9-10172-1,2020-2501-9-10172,2020,2501,Bahrain International Airport,EX,9,10172,89132,2/5/2020,3923301000,Plastic bottles for packaging,BH,BH,BH,BH,AE,AE,NMB,145.0,0.15,FOB,8.18,1.95,21.75,896.12,1052.25,Pending,7,2,2501,960,,,CR_HASH_223,,CR_HASH_036,2020-02-05,2020-02,392330100000,39,392330,True,Re-export,8.18,21.75,1.95,896.12,1052.25,AE,CR_HASH_036,Plastic bottles for packaging
2020-2701-2-10173-1,2020-2701-2-10173,2020,2701,Khalifa Bin Salman Port,,2,10173,85430,1/22/2020,6109100000,Cotton t-shirts,CN,CN,BH,BH,SA,SA,NMB,83.0,11.83,FOB,369.19,0.72,981.89,167.5,189.43,Released,4,8,2701,624,,,CR_HASH_085,CR_HASH_024,,2020-01-22,2020-01,610910000000,61,610910,False,,369.19,981.89,0.72,167.5,189.43,,CR_HASH_024,Cotton t-shirts
2020-2701-4-10174-1,2020-2701-4-10174,2020,2701,Khalifa Bin Salman Port,EX,4,10174,19107,10/4/2020,6109100000,Cotton t-shirts,BH,BH,BH,BH,AE,AE,NMB,124.0,10.34,CIF,482.09,2.87,1282.16,561.88,641.07,Released,9,8,2701,598,,,CR_HASH_180,,CR_HASH_039,2020-10-04,2020-10,610910000000,61,610910,True,Re-export,482.09,1282.16,2.87,561.88,641.07,AE,CR_HASH_039,Cotton t-shirts
2020-2601-1-10175-1,2020-2601-1-10175,2020,2601,Dry Port - Hidd,EX,1,10175,50162,9/5/2020,2710192100,Gas oils for diesel engines,BH,BH,BH,BH,AE,AE,LTR,4823.89,0.96,EXW,1741.23,3.75,4630.93,4188.45,4610.6,Held,4,5,2601,338,,,CR_HASH_148,,CR_HASH_036,2020-09-05,2020-09,271019210000,27,271019,True,Re-export,1741.23,4630.93,3.75,4188.45,4610.6,AE,CR_HASH_036,Gas oils for diesel engines
2020-2601-1-10176-1,2020-2601-1-10176,2020,2601,Dry Port - Hidd,IM,1,10176,13337,5/14/2020,8504400090,Static converters,JP,JP,JP,JP,BH,BH,NMB,29.0,72.47,EXW,790.21,2.23,2101.63,65.58,69.9,Held,7,8,2601,821,,,CR_HASH_057,CR_HASH_017,,2020-05-14,2020-05,850440009000,85,850440,False,Import,790.21,2101.63,2.23,65.58,69.9,JP,CR_HASH_017,Static converters
2020-2501-9-10177-1,2020-2501-9-10177,2020,2501,Bahrain International Airport,IM,9,10177,77202,7/28/2020,6109100000,Cotton t-shirts,JP,JP,DE,DE,BH,BH,NMB,180.0,7.23,EXW,489.33,2.74,1301.4,794.89,900.48,Released,1,6,2501,714,,,CR_HASH_160,CR_HASH_011,,2020-07-28,2020-07,610910000000,61,610910,False,Import,489.33,1301.4,2.74,794.89,900.48,JP,CR_HASH_011,Cotton t-shirts
2020-2801-5-10178-1,2020-2801-5-10178,2020,2801,King Fahd Causeway,EX,5,10178,51633,10/9/2020,9018390000,Medical syringes and needles,BH,BH,BH,BH,JP,JP,NMB,143.0,0.07,EXW,3.76,1.04,10.01,642.52,736.55,Released,3,1,2801,731,,,CR_HASH_070,,CR_HASH_044,2020-10-09,2020-10,901839000000,90,901839,True,Re-export,3.76,10.01,1.04,642.52,736.55,JP,CR_HASH_044,Medical syringes and needles
2020-2601-8-10179-1,2020-2601-8-10179,2020,2601,Dry Port - Hidd,IM,8,10179,92097,3/26/2020,2710192100,Gas oils for diesel engines,CN,CN,CN,CN,BH,BH,LTR,4920.62,0.79,FOB,1461.62,4.61,3887.29,4052.71,4635.99,Released,1,9,2601,951,,,CR_HASH_037,CR_HASH_015,,2020-03-26,2020-03,271019210000,27,271019,False,Import,1461.62,3887.29,4.61,4052.71,4635.99,CN,CR_HASH_015,Gas oils for diesel engines
2020-2601-6-10180-1,2020-2601-6-10180,2020,2601,Dry Port - Hidd,EX,6,10180,22895,10/30/2020,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,CN,CN,NMB,124.0,17784.25,FOB,829172.87,0.56,2205247.0,953.03,1084.4,Held,5,3,2601,555,,,CR_HASH_044,,CR_HASH_039,2020-10-30,2020-10,870322100000,87,870322,True,Re-export,829172.87,2205247.0,0.56,953.03,1084.4,CN,CR_HASH_039,Passenger cars 1000-1500cc
2020-2601-5-10181-1,2020-2601-5-10181,2020,2601,Dry Port - Hidd,IM,5,10181,31819,1/1/2020,2710192100,Gas oils for diesel engines,DE,DE,DE,DE,BH,BH,LTR,5371.61,0.77,FOB,1555.19,3.4,4136.14,4372.13,4783.52,Released,9,3,2601,356,,,CR_HASH_137,CR_HASH_027,,2020-01-01,2020-01,271019210000,27,271019,False,Import,1555.19,4136.14,3.4,4372.13,4783.52,DE,CR_HASH_027,Gas oils for diesel engines
2020-2701-9-10182-1,2020-2701-9-10182,2020,2701,Khalifa Bin Salman Port,IM,9,10182,64354,7/19/2020,8471300000,Portable laptop computers,AE,AE,AE,AE,BH,BH,NMB,48.0,451.42,CIF,8147.23,0.69,21668.16,292.82,330.15,Released,7,1,2701,512,,,CR_HASH_066,CR_HASH_034,,2020-07-19,2020-07,847130000000,84,847130,False,Import,8147.23,21668.16,0.69,292.82,330.15,AE,CR_HASH_034,Portable laptop computers
2020-2501-9-10183-1,2020-2501-9-10183,2020,2501,Bahrain International Airport,EX,9,10183,87306,8/27/2020,2710192100,Gas oils for diesel engines,BH,BH,BH,BH,AE,AE,LTR,11372.88,0.1,EXW,427.62,4.67,1137.29,9939.71,11475.48,Released,4,1,2501,358,,,CR_HASH_004,,CR_HASH_040,2020-08-27,2020-08,271019210000,27,271019,True,Re-export,427.62,1137.29,4.67,9939.71,11475.48,AE,CR_HASH_040,Gas oils for diesel engines
2020-2601-1-10184-1,2020-2601-1-10184,2020,2601,Dry Port - Hidd,IM,1,10184,80218,11/2/2020,8504400090,Static converters,US,US,SA,SA,BH,BH,NMB,39.0,30.86,FOB,452.53,1.06,1203.54,137.19,159.85,Held,3,7,2601,921,,,CR_HASH_159,CR_HASH_044,,2020-11-02,2020-11,850440009000,85,850440,False,Import,452.53,1203.54,1.06,137.19,159.85,US,CR_HASH_044,Static converters
2020-2501-4-10185-1,2020-2501-4-10185,2020,2501,Bahrain International Airport,IM,4,10185,19165,6/30/2020,1006301000,Long-grain milled rice,SA,SA,SA,SA,BH,BH,KGM,4718.27,7.25,CIF,12862.0,3.26,34207.46,4718.27,5487.44,Held,3,8,2501,698,,,CR_HASH_123,CR_HASH_002,,2020-06-30,2020-06,100630100000,10,100630,False,Import,12862.0,34207.46,3.26,4718.27,5487.44,SA,CR_HASH_002,Long-grain milled rice
